source_file,k,policy,baseline,metric,questions,mean_delta,ci_low,ci_high
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,cosine,em,200,-0.005,-0.03,0.02
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,cosine,f1,200,-0.009819999999999997,-0.0373604875,0.0176425375
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,em,200,-0.015,-0.045,0.015
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,f1,200,-0.024816999999999995,-0.05447201250000001,0.0019793999999999853
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,em,200,-0.015,-0.045,0.015
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,f1,200,-0.015153000000000003,-0.047111025,0.0159276125
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,em,200,-0.005,-0.03,0.02
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,f1,200,-0.009900500000000001,-0.0388496375,0.01815003749999998
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,cosine,em,200,-0.005,-0.035,0.03
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,cosine,f1,200,-0.0050570000000000025,-0.041666625000000006,0.031159149999999986
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,cosine,em,200,0.005,-0.025,0.035
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,cosine,f1,200,0.012683,-0.020284125,0.0456884875
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,cosine,em,200,-0.015,-0.05,0.015
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,cosine,f1,200,0.0038565,-0.03265905,0.03951981249999999
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,cosine,em,200,0.005,-0.01,0.025
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,cosine,f1,200,0.004795499999999999,-0.019206725,0.0288676875
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,cosine,em,200,0.02,0.0,0.045
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,cosine,f1,200,0.0289305,-0.0033687375000000007,0.06256564999999999
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,cosine,em,200,0.005,0.0,0.015
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,cosine,f1,200,-0.001927,-0.018574924999999996,0.016620574999999995
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,cosine,em,200,0.01,0.0,0.025
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,cosine,f1,200,0.007133,-0.0139984625,0.02936431249999999
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,cosine,em,200,0.0,0.0,0.0
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,cosine,f1,200,-0.008128,-0.022532012499999997,0.004147224999999997
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,cosine,em,200,0.005,0.0,0.015
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,cosine,f1,200,-0.0069445,-0.023613175,0.009422862499999993
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,cosine,em,200,0.0,0.0,0.0
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,cosine,f1,200,-0.0004059999999999997,-0.008435100000000001,0.007478637499999998
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,cosine,em,200,0.0,0.0,0.0
qa_quality_Qwen_Qwen2.5_3B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,cosine,f1,200,-0.0023739999999999994,-0.010349750000000001,0.0059417499999999965
